cartodb_id,the_geom,cartodb_georef_status,geonameid,subcountry,country,name
9031,,false,1255488,Punjab,India,Sultanpur
13063,0101000020E6100000A661F88898BA5F40C0046EDDCD934140,true,1841811,Gwangju,South Korea,Gwangju
106,0101000020E6100000E5D53906641F2E407311DF89596F1EC0,true,2236568,Uíge,Angola,Uíge
614,,false,585568,Baki,Azerbaijan,Mardakan
2468,0101000020E6100000488AC8B08A0952C00A9DD7D825A24640,true,6064180,Quebec,Canada,Magog
2388,0101000020E61000002C9FE579708753C0D4601A868F484840,true,5884588,Quebec,Canada,Amos
3256,0101000020E610000072FE261422F25940F92CCF83BB7B3940,true,1797318,Yunnan,China,Qujing
4822,0101000020E610000043E7357689AA2640FB912232AC1E4940,true,2883784,Bavaria,Germany,Kronach
4170,0101000020E61000002237C30DF8A254C0B329577897FB3640,true,3567612,Artemisa,Cuba,Bauta
5714,0101000020E6100000800EF3E5057453C03E7958A835CDEFBF,true,3650721,Napo,Ecuador,Tena
5646,0101000020E61000009031772D219F0640EAE74D452A3C4240,true,2503769,Blida,Algeria,Blida
5515,0101000020E6100000C959D8D30E3F0A405F7B6649805E4240,true,2482908,Alger,Algeria,Rouiba
6350,0101000020E61000004703780B2428DABFDAACFA5C6D114540,true,3120514,Aragon,Spain,Huesca
6485,0101000020E6100000E3FC4D2844A443406666666666E62040,true,326308,Oromiya,Ethiopia,Wenjī
7901,0101000020E6100000A2B437F8C2942CC0E89FE06245DD2540,true,2422924,Boke,Guinea,Boké
7220,0101000020E61000008B1A4CC3F01191BF0000000000604840,true,3037051,Normandy,France,Argentan
7922,0101000020E6100000E76F4221026E364068E89FE062894240,true,253394,Peloponnese,Greece,Spárti
8688,0101000020E61000000FB9196EC06723C09817601F9D224A40,true,2961123,Munster,Ireland,Tralee
9841,,false,1264403,Kerala,India,Mahē
9427,,false,1259735,Uttar Pradesh,India,Phulpur
9051,0101000020E6100000C3B645990DAC5540E59B6D6E4C473540,true,1255705,Odisha,India,Soro
10387,,false,1270759,Uttar Pradesh,India,Gulāothi
10638,0101000020E6100000F870C971A710534037548CF337E12340,true,1273874,Kerala,India,Cochin
11922,0101000020E610000045D8F0F44A2922405F7B664980E64640,true,3178229,Lombardy,Italy,Como
11233,,false,10792588,Kerala,India,Cherthala
12719,0101000020E61000002EE7525C558561406666666666064240,true,2111749,Ibaraki,Japan,Naka
12662,0101000020E6100000064CE0D6DDA56040B79C4B7155F54040,true,1926054,Ehime,Japan,Saijō
13487,0101000020E6100000B4E55C8AABAA1D407D96E7C1DDDD4540,true,2993458,,Monaco,Monaco
14500,,false,10792382,Selangor,Malaysia,Putra Heights
14617,0101000020E610000053D0ED258DF11840BF9A030473341E40,true,2327220,Kogi,Nigeria,Okene
15974,0101000020E61000000A4B3CA06C6451402F51BD35B02D3940,true,1172657,Sindh,Pakistan,Kunri
15425,0101000020E61000008E01D9EBDDED5E40DA722EC555552A40,true,1684577,Bicol,Philippines,Tagas
15215,,false,286282,Al Batinah North Governorate,Oman,Sohar
15328,0101000020E6100000304CA60A468151C0E561A1D634AF2FC0,true,3931276,Puno,Peru,Puno
16496,,false,281161,Gaza Strip,Palestinian Territory,Al Burayj
16505,,false,282615,West Bank,Palestinian Territory,Nablus
17566,0101000020E61000000000000000C04240B0C91AF510F14B40,true,570636,Moscow,Russia,Businovo
17981,,false,102527,Al Jawf,Saudi Arabia,Sakakah
